aX,aY,aZ,gX,gY,gZ,Result
-4472.0,-13616.0,-7924.0,295.0,-785.0,2384.0,0.0
-4652.0,-13632.0,-7852.0,456.0,-965.0,-161.0,0.0
-5192.0,-13992.0,-7788.0,380.0,-1123.0,-3195.0,0.0
-3724.0,-13300.0,-8056.0,-33.0,353.0,-1401.0,0.0
-4820.0,-15560.0,-7512.0,478.0,721.0,-1853.0,0.0
-4132.0,-14988.0,-7768.0,-1452.0,1599.0,-3049.0,0.0
-2080.0,-14480.0,-9620.0,-1534.0,409.0,-9878.0,0.0
-680.0,-15020.0,-8140.0,-1937.0,-7361.0,-13518.0,0.0
-2000.0,-13264.0,-7228.0,-751.0,-10928.0,-8358.0,0.0
-6052.0,-17492.0,-14564.0,2706.0,2245.0,-11763.0,0.0
3356.0,-14288.0,-9268.0,-2458.0,6583.0,-11332.0,0.0
8212.0,-11392.0,-8348.0,7486.0,-12838.0,7294.0,0.0
-12136.0,-13064.0,-232.0,5980.0,-13548.0,9276.0,0.0
-1976.0,-16736.0,-9044.0,-13964.0,10916.0,-14319.0,0.0
14416.0,-5052.0,-13544.0,-5597.0,426.0,3412.0,0.0
-8552.0,204.0,-968.0,26800.0,-28323.0,18742.0,0.0
-8936.0,-32768.0,-4552.0,-14747.0,18776.0,-7776.0,0.0
14572.0,-2152.0,-12792.0,-1157.0,442.0,660.0,0.0
-8740.0,-3372.0,1744.0,22037.0,-18131.0,17991.0,0.0
-4192.0,-25964.0,-8960.0,-12325.0,13915.0,-4681.0,0.0
6664.0,-11952.0,-6940.0,7081.0,-92.0,-5954.0,0.0
-3576.0,-14380.0,-4756.0,4417.0,-5294.0,2493.0,0.0
-2624.0,-17264.0,-5712.0,-865.0,2929.0,-2946.0,0.0
-836.0,-16372.0,-3992.0,-5507.0,5548.0,-9673.0,0.0
3372.0,-13392.0,-6144.0,-10146.0,4259.0,-5428.0,0.0
6452.0,-12740.0,-10792.0,2399.0,-5519.0,10602.0,0.0
-4804.0,-9732.0,-5668.0,8509.0,-16555.0,15575.0,0.0
-6268.0,-22816.0,-8036.0,-6883.0,13347.0,-5162.0,0.0
5908.0,-11072.0,-6708.0,-882.0,4144.0,-7293.0,0.0
1804.0,-15264.0,-7700.0,11204.0,-18311.0,24727.0,0.0
